siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
006177596,00019,00617759600019,O,1900-01-01,NN,,,2019-11-14T14:00:39,false,4,,2,,RUE,FREDERIC MISTRAL,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1995-10-31,F,,,,,55.4B,NAF1993,N
006177596,00027,00617759600027,O,1995-11-01,NN,,,2019-11-14T14:00:39,true,3,,45,,RTE,DU CHATEAU DE BEAUREGARD,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,2005-12-14,F,,,,,70.2C,NAFRev1,N
006177679,00013,00617767900013,O,,,,,2019-11-14T14:00:38,true,1,,,,PL,DE L EGLISE,44290,GUEMENE-PENFAO,,,44067,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.05,NAP,N
006177687,00040,00617768700040,O,,NN,,,,true,1,,,,,CASTAGNON,32400,AURENSAN,,,32017,,,,,,,,,,,,,,,,,,,,F,,,,,55.72,NAP,N
006177786,00016,00617778600016,O,,NN,,,2019-11-14T14:00:39,true,1,,,,LD,LA MARIAUDAIS,44360,LE TEMPLE-DE-BRETAGNE,,,44203,,,,,,,,,,,,,,,,,,,,F,,,,,67.08,NAP,N
006177828,00016,00617782800016,O,,NN,,,2019-11-14T14:00:39,true,1,,11,B,RUE,DU CDT GUSTAVE GATE,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1992-12-31,F,,,,,52.4U,NAF1993,N
006177901,00011,00617790100011,O,,,,,,true,1,,,,LD,CASTOUILLET,44490,LE CROISIC,,,44049,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.13,NAP,N
006177919,00013,00617791900013,O,,NN,,,2019-11-14T14:00:39,true,1,,,,LD,LA PAQUELAIS,44360,VIGNEUX-DE-BRETAGNE,,,44217,,,,,,,,,,,,,,,,,,,,F,,,,,62.43,NAP,N
006177927,00016,00617792700016,O,,,,,2019-11-14T14:00:38,true,1,,33,,RUE,DE LA PAIX,44360,SAINT-ETIENNE-DE-MONTLUC,,,44158,,,,,,,,,,,,,,,,,,,1989-03-21,F,,,,,66.01,NAP,N
006177943,00013,00617794300013,O,,,,,2019-11-14T14:00:39,true,1,,,,RUE,DU CROISIC,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.04,NAP,N
006177984,00017,00617798400017,O,,,,,,true,1,,1,,AV,DU GENERAL DE GAULLE,44380,PORNICHET,,,44132,,,,,,,,,,,,,,,,,,,1988-12-31,F,,,,,62.11,NAP,N
006178032,00014,00617803200014,O,,,,,,true,1,,,,,L OREE DU BOIS,44780,MISSILLAC,,,44098,,,,,,,,,,,,,,,,,,,1992-06-30,F,,,,,45.1A,NAF1993,N
006178057,00011,00617805700011,O,,,,,,true,1,,,,,BOURG,44780,MISSILLAC,,,44098,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,38.40,NAP,N
006178107,00014,00617810700014,O,,,,,,true,1,,,,RUE,DU CHATEAU,44780,MISSILLAC,,,44098,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.11,NAP,N
006178149,00016,00617814900016,O,,,,,2019-11-14T14:00:39,true,1,,,,RUE,JEAN JAURES,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,81.21,NAP,N
006178164,00015,00617816400015,O,,NN,,,2019-11-14T14:00:39,true,1,,,,RTE,DE VANNES,44360,LE TEMPLE-DE-BRETAGNE,,,44203,,,,,,,,,,,,,,,,,,,,F,,,,,38.50,NAP,N
006178263,00023,00617826300023,O,1994-07-20,NN,,,2006-11-25T09:04:32,true,1,,43,,RTE,DE VANNES,44100,NANTES,,,44109,,,,,,,,,,,,,,,,,,,1995-01-19,F,,,,,74.1J,NAF1993,N
006178347,00016,00617834700016,O,,,,,2019-11-14T14:00:38,true,1,,2,,RUE,JOLIOT CURIE,44720,SAINT-JOACHIM,,,44168,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,62.44,NAP,N
006178503,00014,00617850300014,O,,NN,,,,true,1,,44,,RUE,DE NANTES,44260,SAVENAY,,,44195,,,,,,,,,,,,,,,,,,,,F,,,,,87.06,NAP,N
006178529,00019,00617852900019,O,1961-01-01,NN,,,2019-11-14T14:00:39,true,3,,4,,RUE,MARCEL SEMBAT,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,2004-09-30,F,,,,,55.4B,NAFRev1,N
006178768,00013,00617876800013,O,,,,,,true,1,,50,,RUE,MAL LECLERC,44420,LA TURBALLE,,,44211,,,,,,,,,,,,,,,,,,,,F,,,,,62.43,NAP,N
006178875,00016,00617887500016,O,,NN,,,2019-11-14T14:00:39,true,1,,44,,AV,DE LA REPUBLIQUE,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,,F,,,,,81.21,NAP,N
006178917,00016,00617891700016,O,,,,,2019-11-14T14:00:39,true,1,,,,RUE,DE PORNICHET,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,64.41,NAP,N
006179006,00017,00617900600017,O,,,,,,true,1,,,,LD,LE TERTRE,44460,AVESSAC,,,44007,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,55.10,NAP,N
006179089,00013,00617908900013,O,,,,,,true,1,,,,,Q SAINT JACQUES,44420,LA TURBALLE,,,44211,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.08,NAP,N
006179105,00017,00617910500017,O,,NN,,,,true,1,,6,,AV,LA MONNERAYE,44410,HERBIGNAC,,,44072,,,,,,,,,,,,,,,,,,,,F,,,,,64.24,NAP,N
006179154,00015,00617915400015,O,,NN,,,,true,1,,3,,PL,JEAN GUIHARD,44130,BLAIN,,,44015,,,,,,,,,,,,,,,,,,,1988-07-31,F,,,,,64.11,NAP,N
006179220,00014,00617922000014,O,,,,,2019-11-14T14:00:38,true,1,,21,,RUE,JOLIOT CURIE,44720,SAINT-JOACHIM,,,44168,,,,,,,,,,,,,,,,,,,1987-11-30,F,,,,,62.43,NAP,N
006179238,00016,00617923800016,O,,,,,,true,1,,,,RUE,DU FOUR,44410,HERBIGNAC,,,44072,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,66.01,NAP,N
006179337,00016,00617933700016,O,,NN,,,,true,1,,,,PL,DU MARCHE,44410,HERBIGNAC,,,44072,,,,,,,,,,,,,,,,,,,,F,,,,,67.04,NAP,N
006179352,00015,00617935200015,O,,NN,,,,true,1,,,,PL,DE L EGLISE,44410,HERBIGNAC,,,44072,,,,,,,,,,,,,,,,,,,,F,,,,,41.02,NAP,N
006179394,00017,00617939400017,O,,,,,2019-11-14T14:00:39,true,1,,,,AV,DE LA REPUBLIQUE,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,87.06,NAP,N
006179436,00016,00617943600016,O,,,,,2019-11-14T14:00:39,true,1,,,,PL,VICTOR BOUET,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,55.72,NAP,N
006179451,00015,00617945100015,O,1961-01-01,NN,,,2019-11-14T14:00:39,true,3,,1,,RUE,DES CHANTIERS - LA DIGUE,44460,SAINT-NICOLAS-DE-REDON,,,44185,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
006179477,00010,00617947700010,O,,NN,,,2019-11-14T14:00:38,true,1,,28,,BD,DE L OCEAN,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,1994-10-30,F,,,,,55.4B,NAF1993,N
006179493,00017,00617949300017,O,,NN,,,2019-11-14T14:00:38,true,1,,23,,AV,DES SALINES,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,1990-06-29,F,,,,,55.73,NAP,N
006179543,00019,00617954300019,O,,,,,,true,1,,14,,RUE,MAURICE SAMBRON,44160,PONTCHATEAU,,,44129,,,,,,,,,,,,,,,,,,,1997-09-30,F,,,,,52.2C,NAF1993,N
006179592,00016,00617959200016,O,,,,,2019-11-14T14:00:39,true,1,,64,,RUE,VIVANT LACOUR,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1995-03-31,F,,,,,52.4L,NAF1993,N
